"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Gls",-0.117132120962392,10.5128709583418,-8.65854828167156,5.51480751231407e-18,6.32069628918518e-18,28.7141952634199
"Pmp22",-0.114614583285203,10.4873192733509,-8.64669010463783,6.1141466477046e-18,7.00360440745086e-18,28.5935506800948
"Zfp36l1",-0.129873647744164,11.163403022079,-8.55465039408584,1.3554961428824e-17,1.54825373258984e-17,28.0326954201137
"Osr1",-0.108103147433736,10.4333003708405,-8.56376857085339,1.2531494336493e-17,1.43298963253208e-17,27.838759409448
"Epha3",-0.0869038603038703,10.2173067143669,-8.58818322403026,1.01516810691231e-17,1.16151957312622e-17,27.7627272789431
"Gpcpd1",-0.0769516731161062,10.1598048978977,-8.59042282163596,9.95715389099961e-18,1.13991458397248e-17,27.6749142292908
"Ifi30",-0.0756238670328795,10.1837388016923,-8.55978045767667,1.29693982760669e-17,1.48221694583622e-17,27.46238791249
"P2rx1",-0.0692864925740153,10.107574032092,-8.54323088470679,1.49537413486974e-17,1.70704809916637e-17,27.1598989416028
"Sparcl1",-0.142397254028186,10.6584774358532,-8.40797437720513,4.73990165068648e-17,5.39852124223973e-17,26.6718510795694
"Tpd52",-0.0728926879337681,10.1792923982529,-8.45220000654634,3.25680895835528e-17,3.71357919994901e-17,26.5440991827797
"Ccdc85a",-0.0540996443731476,10.0397901940572,-8.4791661637909,2.58830801961878e-17,2.95300401553768e-17,26.4687794363739
"Bex4",-0.0621351823563003,10.0969670601955,-8.44011208333617,3.60926930057468e-17,4.11312740806231e-17,26.2665537199519
"Itprid2",-0.085700994145288,10.2528499108804,-8.39556289791525,5.26453200075519e-17,5.99263745105884e-17,26.1964482680914
"Rap1b",-0.102854096360856,10.4661958300525,-8.34445924264579,8.09832751398928e-17,9.21311435038599e-17,26.027465496177
"Carmn",-0.13365170469309,10.3670199425062,-8.27842791211823,1.40748117876019e-16,1.59850219052832e-16,25.3997384850551
"Crispld1",-0.0630185799852079,10.0983556472963,-8.30928093835265,1.08769871015949e-16,1.23672394560488e-16,25.1848478057202
"Chchd10",-0.0758921950135036,10.1447773882677,-8.29655856985248,1.20979957859152e-16,1.37477224839946e-16,25.1835599270715
