"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Rassf2",-0.446681673272433,10.3081881097562,-59.423288030687,0,0,1486.28053244992
"Sox7",-0.410591116542191,10.2784247793433,-59.4236831853115,0,0,1486.26088868158
"Ptpn22",-0.433508590484054,10.2922507814334,-59.4112513147301,0,0,1485.74398627305
"Napsa",-0.503245832342428,10.3488943970237,-59.3474168915769,0,0,1483.05933464544
"Lmo2",-0.595049055623322,10.4344751497104,-59.322517533291,0,0,1482.06888062569
"Mcf2l",-0.435516165739012,10.2888677601457,-59.3253947973564,0,0,1482.04740886422
"Hba-a2",-2.02491852748959,10.6721354799927,-59.2903237965299,0,0,1480.81519663602
"Palmd",-0.486432401115232,10.3318897604546,-59.2284447758176,0,0,1477.92862546776
"Spon2",-0.360743945665634,10.2503905101354,-59.2225977349504,0,0,1477.57653824094
"Gpx3",-0.471248538299751,10.3045332687755,-59.2074576113005,0,0,1476.9979915661
"Trbc1",-0.412058649778132,10.2747446949084,-59.202648121227,0,0,1476.7550596798
"Flt4",-0.364144284179931,10.248188032751,-59.1548380231009,0,0,1474.66292637003
"Tie1",-0.494069277821197,10.3392086888679,-59.1206034327998,0,0,1473.30503364737
"Iglc2",-0.548419347580255,10.374838136025,-59.0323766775928,0,0,1469.55245254931
"Slamf7",-0.363894666535135,10.2506867636595,-59.0341730680709,0,0,1469.48793030845
"Il7r",-0.404461152570121,10.2718301697771,-59.022503444548,0,0,1469.01796625095
"Ramp1",0.846713939196061,11.2131144279914,58.9849235802303,0,0,1467.81945264172
"Inpp4b",-0.410918850879638,10.2802465920184,-58.9758283488527,0,0,1467.02668466034
"Fyn",-0.494606995221114,10.3583394745718,-58.923625310045,0,0,1464.8762668901
"Car8",-0.422564412205858,10.2957852041723,-58.888918515178,0,0,1463.32073962847
"Podxl",-0.533834061122223,10.3667935927765,-58.8500729415129,0,0,1461.73141887793
"Ncf4",-0.420567053533453,10.2982589461845,-58.840050994922,0,0,1461.23012392882
"Syk",-0.465705322031928,10.3281002914232,-58.8119017198327,0,0,1460.05762396191
"Gm6377",-0.37991374167377,10.2662079175424,-58.7942880012333,0,0,1459.22867484687
"H2-Q6",-0.501292117007164,10.363638214222,-58.7897170517102,0,0,1459.14505180712
"Gngt2",-0.518766936382351,10.3879639073881,-58.787190606022,0,0,1459.05971329829
"Hspa12b",-0.438535462526938,10.301270005046,-58.7656822230988,0,0,1458.04908622138
"Anpep",-0.419348243822489,10.2940900831904,-58.7631983422055,0,0,1457.93411962488
"Lrrn4cl",-0.386215285427159,10.2694119007432,-58.7610418127795,0,0,1457.8097274978
"Rinl",-0.388310315945246,10.2704630855895,-58.7572936576397,0,0,1457.65060399081
"Grap",-0.473586799332999,10.341623539886,-58.7137942699142,0,0,1455.87196756826
"Fam111a",-0.467257941942073,10.3397210797795,-58.7122163556222,0,0,1455.80287139876
"Aox3",-0.353866239747454,10.2470915241734,-58.6928694842437,0,0,1454.85998342012
"Srgn",-0.843219404259971,10.7533866611896,-58.6742891794055,0,0,1454.44364011064
"Pla1a",-0.412481187044888,10.2797238818596,-58.6731515723544,0,0,1454.06316402808
"Tnfaip8l2",-0.395731375095961,10.2803209148197,-58.6500107613152,0,0,1453.07305353638
"Aplnr",-0.376763746018417,10.2556724186738,-58.6485114373845,0,0,1452.97527813352
"Rapgef3",-0.438907182121113,10.291666327849,-58.6470130116573,0,0,1452.95979378813
"Dact2",-0.36211220680549,10.2528965334191,-58.611110247683,0,0,1451.37159584753
"Rnf144a",-0.412544446462341,10.2877061182736,-58.6021782360813,0,0,1451.03714368828
"Arap3",-0.449106558233291,10.3011990751645,-58.5736346600249,0,0,1449.83380113462
"Cd8a",-0.356462896305899,10.2472960335943,-58.5601985290471,0,0,1449.1870589533
"Adgrd1",-0.40741355950931,10.2797523398609,-58.5167164857849,0,0,1447.37441629363
"Lbp",-0.412643571266143,10.2896767510266,-58.5045210188899,0,0,1446.86612148809
"Csrp1",0.900724383096303,11.5171635174538,58.4861474541696,0,0,1446.50020098194
"Col5a3",-0.396976103659808,10.2701139228747,-58.4659823184534,0,0,1445.19430945898
"Emcn",-0.542410974455205,10.3746460996913,-58.4354523258813,0,0,1444.00532556166
"Klrd1",-0.359326215259482,10.2498187305597,-58.4362647467092,0,0,1443.89606724616
"Rnf125",-0.400141052385122,10.278463645587,-58.4189012520991,0,0,1443.19455893721
"Kcnn4",-0.38831132358535,10.270751783048,-58.4137359465316,0,0,1442.96363418073
"Ablim3",-0.454053368795996,10.2958233846919,-58.3894127892944,0,0,1441.95857773569
"Dll4",-0.395984432451446,10.2673839464691,-58.3229078513243,0,0,1439.08297505129
"Ackr2",-0.3466068256983,10.2453861437662,-58.2909623390953,0,0,1437.68819624576
"Hcls1",-0.454903251630318,10.3273499269586,-58.2879607444036,0,0,1437.66528009284
"Fn1",0.968346450608678,11.6672194544278,58.2464418186676,0,0,1436.2809613849
"Il4ra",-0.468274910319041,10.3368305558907,-58.2531261720209,0,0,1436.19010065396
"Ms4a4d",-0.384109132448318,10.2700796994299,-58.2438580735153,0,0,1435.71528234475
"Jaml",-0.350786679992868,10.2455864929185,-58.2439218096601,0,0,1435.68273521713
"Ces1d",-0.367213367696934,10.250121519169,-58.2232063244432,0,0,1434.8066048976
"Ifi211",-0.374501777770002,10.2632793531348,-58.2007430057124,0,0,1433.86756802651
"Aif1l",-0.388254748472905,10.268640676973,-58.1761896305147,0,0,1432.8297180734
"Thy1",-0.429335571908386,10.299665387445,-58.1648530148468,0,0,1432.38634291226
"Fermt3",-0.457092339093077,10.3243279218978,-58.1565797983941,0,0,1432.06163418075
"Irf5",-0.403732941414354,10.2859110384535,-58.1441868325741,0,0,1431.48841916916
"Meox1",-0.354496631766423,10.2472152063469,-58.1411627534754,0,0,1431.30566528794
"Cadm1",-0.352773803859634,10.2467532922566,-58.0624600237519,0,0,1427.95317423503
"Gpr132",-0.387757747346953,10.2717935080489,-58.051185747006,0,0,1427.5093310268
"Gbp4",-0.421836130896743,10.2916446727154,-58.0461782856511,0,0,1427.32241673208
"Ly6c2",-0.379017464625909,10.2531243287981,-58.0225774593564,0,0,1426.26630381609
"Rasip1",-0.519986190544147,10.3608771286193,-58.0150384731815,0,0,1426.0723894787
"Lat2",-0.394169666627386,10.2813776603762,-58.0051490655941,0,0,1425.56273104525
"Clec1a",-0.406477013849955,10.2815315612708,-57.9671201932311,0,0,1423.94479313791
"Psmb9",-0.553718846545491,10.4394573951421,-57.9507468442291,0,0,1423.41179178206
"Bcl2a1d",-0.381087164506951,10.2691564373388,-57.9512853944745,0,0,1423.25479265255
"Cxcr6",-0.346219759026473,10.2454849552767,-57.9403167313634,0,0,1422.75409059464
"Ackr1",-0.350128887968756,10.2472421873165,-57.9397696980913,0,0,1422.73323361999
"Cd8b1",-0.36613916089996,10.2521132745729,-57.9366246152621,0,0,1422.60746625648
"Clic5",-0.494545755616349,10.3293034448936,-57.9340066898653,0,0,1422.59223356601
"H2-T23",-0.665407605516979,10.5997642569019,-57.9137140616761,0,0,1421.94425937744
"Itgb7",-0.429474899475679,10.2993613573491,-57.9052561896501,0,0,1421.33666492843
"Cysltr1",-0.353270872110921,10.2479133526439,-57.893445019228,0,0,1420.76430386673
"Traf1",-0.410223248443851,10.2889790882551,-57.8812440893029,0,0,1420.30278686863
"Mzb1",-0.454683464494593,10.3116531359778,-57.8745633748303,0,0,1420.04609196815
"Car4",-0.489439261915388,10.3176442463032,-57.8739208020323,0,0,1420.02519627072
"H2-DMa",-0.542766735738196,10.4013951644594,-57.8713611047883,0,0,1419.99908899486
"Pitpnc1",-0.476181345272979,10.3349985108353,-57.8596830253494,0,0,1419.43881003675
"Snx20",-0.43647436343544,10.3079343875907,-57.8519944208194,0,0,1419.08266515847
"Serpina3g",-0.355900520558899,10.2492627241957,-57.832297594467,0,0,1418.16738521264
"Spn",-0.365710648453517,10.2593819740984,-57.8056527924899,0,0,1417.04974672117
"Cyp4f18",-0.398454322778287,10.277999301014,-57.7975914997517,0,0,1416.73375582568
"Aldh1a3",-0.398022819358218,10.2760080137993,-57.7895322854271,0,0,1416.388889661
